,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,3+ BEDS,4 BEDS,5 BEDS
55,Wesley South At East Carolina,https://www.rentcafe.com/apartments/nc/greenville/wesley-south-at-east-carolina/default.aspx,"108 Brownlea Drive,",Greenville,NC,5.00,27858,$725,Ask for pricing,"$1,778+","$1,389+","$1,815+","$3,020+","$2,645","$2,695"
56,2830 Donovan Place,https://www.rentcafe.com/apartments/nc/raleigh/2830-donovan-place/default.aspx,"2830 Donovan Place,",Raleigh,NC,5.00,27610,$725,Ask for pricing,"$1,700","$1,389+","$1,815+","$3,020+","$2,645","$2,695"
57,MAA Prosperity Creek,https://www.rentcafe.com/apartments/nc/charlotte/maa-prosperity-creek/default.aspx,"3025 Mallard Hill Drive,",Charlotte,NC,5.00,28269,"$1,288+","$1,538+",Ask for pricing,"$1,389+","$1,815+","$3,020+","$2,645","$2,695"
58,Lochridge,https://www.rentcafe.com/apartments/nc/durham/lochridge/default.aspx,"100 Lochridge Drive,",Durham,NC,5.00,27713,"$1,288+",Ask for pricing,"$1,878+","$1,389+","$1,815+","$3,020+","$2,645","$2,695"
59,MAA Uptown,https://www.rentcafe.com/apartments/nc/charlotte/maa-uptown/default.aspx,"305 N. Graham Street,",Charlotte,NC,5.00,28202,"$1,430+",Ask for pricing,"$1,878+","$1,395+","$2,035+","$3,020+","$2,645","$2,695"
60,Hawk's Nest,https://www.rentcafe.com/apartments/nc/durham/hawk-s-nest/default.aspx,"3400 Sandy Creek Drive,",Durham,NC,5.00,27705,"$1,430+",Ask for pricing,"$1,878+","$1,395+","$2,035+","$3,020+","$2,645","$2,695"
61,Neon Genesis Towers,https://www.rentcafe.com/apartments/nc/tokyo-3/neon-genesis-towers/default.aspx,"Neon Genesis Towers,",Tokyo 3,NC,5.00,27614,$875,$950,"$1,878+","$1,395+","$2,035+","$1,125","$2,645","$2,695"
62,Saddlebrook Townhomes,https://www.rentcafe.com/apartments/nc/fayetteville/saddlebrook0/default.aspx,"4828 Durango Ct,",Fayetteville,NC,5.00,28304,$875,"$1,195","$1,878+","$1,395+","$2,035+","$1,125","$2,645","$2,695"
63,Lenox West,https://www.rentcafe.com/apartments/nc/durham/lenox-west/default.aspx,"100 Remington Circle,",Durham,NC,5.00,27705,$875,"$1,195","$1,878+","$1,395+","$2,035+","$1,125","$2,645","$2,695"
64,Allister North Hills,https://www.rentcafe.com/apartments/nc/raleigh/allister-north-hills0/default.aspx,"430 Allister Drive,",Raleigh,NC,5.00,27609,"$1,772+","$1,195","$1,878+","$1,273+","$2,200+","$1,125","$2,645","$2,695"
