,name,link,address,city,state,ratings,zipcode,Studio,1 BED,2+ BEDS,2 BEDS,3 BEDS,4 BEDS
87,The Oaks Gate City,https://www.rentcafe.com/apartments/nc/greensboro/arbor-park-apartments1/default.aspx,"1604 17Th Street #H,",Greensboro,NC,4.50,27405,"$1,100","$1,283+","$1,868+","$1,738+",Ask for pricing,$795
88,Lincoln Manor,https://www.rentcafe.com/apartments/nc/winston-salem/lincoln-manor0/default.aspx,"1657 Lincoln Ave,",Winston-Salem,NC,4.50,27105,Ask for pricing,"$1,283+","$1,868+",$650,Ask for pricing,$795
89,Notting Hill,https://www.rentcafe.com/apartments/nc/chapel-hill/notting-hill/default.aspx,"100 Drew Hill Lane,",Chapel Hill,NC,4.50,27514,Ask for pricing,"$1,435+","$1,868+","$1,615+","$2,040+",$795
90,Canterbury Place Apartments,https://www.rentcafe.com/apartments/nc/reidsville/canterbury-place-apartments/default.aspx,"1851 Amos St,",Reidsville,NC,4.50,27320,Ask for pricing,"$1,435+","$1,868+",$660,$770,$795
91,MAA Huntersville,https://www.rentcafe.com/apartments/nc/huntersville/maa-huntersville/default.aspx,"9721 Rose Commons Drive,",Huntersville,NC,4.50,28078,Ask for pricing,"$1,418+","$1,868+","$1,628+","$2,088+",$795
92,Wendover Woods,https://www.rentcafe.com/apartments/nc/greensboro/wendover-woods/default.aspx,"1041 West Barton Street,",Greensboro,NC,4.50,27407,Ask for pricing,"$1,418+","$1,868+","$1,000","$2,088+",$795
93,MAA City Grand,https://www.rentcafe.com/apartments/nc/charlotte/maa-city-grand/default.aspx,"608 Mccullough Drive,",Charlotte,NC,4.50,28262,Ask for pricing,"$1,338+","$1,868+","$1,623+","$1,798+",$795
94,MAA Cornelius,https://www.rentcafe.com/apartments/nc/cornelius/maa-cornelius/default.aspx,"19401 Carrington Club Drive,",Cornelius,NC,4.50,28031,Ask for pricing,"$1,338+","$1,868+","$1,788+",Ask for pricing,$795
95,Tara Court Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/tara-court-apartments/default.aspx,"Tara Court,",Winston Salem,NC,4.50,27107,Ask for pricing,$495,"$1,868+",Ask for pricing,Ask for pricing,$795
96,1508 W Friendly Ave,https://www.rentcafe.com/apartments/nc/greensboro/1508-w-friendly-ave/default.aspx,"1508 W Friendly Ave,",Greensboro,NC,4.50,27403,Ask for pricing,$495,"$1,868+",Ask for pricing,Ask for pricing,$795
97,824 Gum Branch Road,https://www.rentcafe.com/apartments/nc/jacksonville/824-gum-branch-road/default.aspx,"Suite P,",Jacksonville,NC,4.50,28546,Ask for pricing,"$1,200","$1,868+",Ask for pricing,Ask for pricing,$795
98,MAA Hue,https://www.rentcafe.com/apartments/nc/raleigh/maa-hue/default.aspx,"300 West Hargett Street,",Raleigh,NC,4.50,27601,"$1,548+","$1,693+","$1,868+","$2,458+",Ask for pricing,$795
99,Knightdale,https://www.rentcafe.com/apartments/nc/knightdale/knightdale-business-center/default.aspx,"Knightdale,",Knightdale,NC,4.50,27545,"$1,548+","$1,693+","$1,868+","$2,458+",Ask for pricing,$795
