,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
182,Flying Biscuit Café - Charlotte,https://www.yelp.com/biz/flying-biscuit-caf%C3%A9-charlotte-charlotte-3?sort_by=date_desc,"American (New),Breakfast & Brunch,Southern,",,,4,805,$$ 
183,Dandelion Market,https://www.yelp.com/biz/dandelion-market-charlotte?sort_by=date_desc,"Bars,American (New),Tapas/Small Plates,",,"118 W 5th St,Charlotte, NC 28202",4,707,$$ 
184,Pio Pio,https://www.yelp.com/biz/pio-pio-charlotte-2?sort_by=date_desc,"Latin American,Peruvian,Chicken Wings,",,"1408 E Blvd,Charlotte, NC 28203",4,447,$$ 
185,Billy Jack's Shack,https://www.yelp.com/biz/billy-jacks-shack-charlotte?sort_by=date_desc,"Beer Bar,American (New),",,"3220 N Davidson St,Charlotte, NC 28205",4.5,128,$$ 
186,Yakiko Hibachi Grill,https://www.yelp.com/biz/yakiko-hibachi-grill-charlotte?sort_by=date_desc,"Teppanyaki,",,"710 W Trade St,Ste F",4,48,
187,The Cooking Pot,https://www.yelp.com/biz/the-cooking-pot-charlotte?sort_by=date_desc,"African,",,"5622 E Independence Blvd,Ste 129",3.5,41,Unclaimed 
188,YAFO Kitchen,https://www.yelp.com/biz/yafo-kitchen-charlotte?sort_by=date_desc,"Middle Eastern,Mediterranean,Salad,",,"720 Gov Morrison St,Ste 120",4.5,608,$$ 
189,Adamary's Restaurante y Pupuseria,https://www.yelp.com/biz/adamarys-restaurante-y-pupuseria-charlotte?sort_by=date_desc,"Mexican,",,"3100 Central Ave,Ste 7",4.5,7,Unclaimed 
190,Stagioni Four Seasons of Food,https://www.yelp.com/biz/stagioni-four-seasons-of-food-charlotte?sort_by=date_desc,"Italian,Bars,",,"715 Providence Rd,Charlotte, NC 28207",4,276,Unclaimed 
191,JackBeagles,https://www.yelp.com/biz/jackbeagles-charlotte?sort_by=date_desc,"Pubs,American (Traditional),Breakfast & Brunch,",,"3213 N Davidson St,Charlotte, NC 28205",4,460,$$ 
192,Cru Charlotte,https://www.yelp.com/biz/cru-charlotte-charlotte?sort_by=date_desc,"Tapas/Small Plates,Hookah Bars,Cocktail Bars,",,"3428 North Tryon St,Charlotte, NC 28206",4.5,5,
193,Laurel Market,https://www.yelp.com/biz/laurel-market-charlotte?sort_by=date_desc,"Delis,Sandwiches,Coffee & Tea,",,"114 Cherokee Rd,Charlotte, NC 28207",4.5,140,Unclaimed 
194,Pupusa 503,https://www.yelp.com/biz/pupusa-503-charlotte?sort_by=date_desc,"Salvadoran,",,"850 Chancellor Park Dr,Ste C",5,25,
195,Dilworth Tasting Room,https://www.yelp.com/biz/dilworth-tasting-room-charlotte?sort_by=date_desc,"Bars,Tapas/Small Plates,",,"300 E Tremont Ave,Charlotte, NC 28203",4.5,290,$$ 
196,Oak Steakhouse Charlotte,https://www.yelp.com/biz/oak-steakhouse-charlotte-charlotte?sort_by=date_desc,"Steakhouses,American (New),Tapas/Small Plates,",,"4777 Sharon Rd,Charlotte, NC 28210",4,240,$$$ 
197,Blacow,https://www.yelp.com/biz/blacow-charlotte?sort_by=date_desc,"Sushi Bars,Burgers,",,"1515 S Tryon St,Charlotte, NC 28203",4,95,$$ 
198,Midtown Tavern,https://www.yelp.com/biz/midtown-tavern-charlotte?sort_by=date_desc,"American (Traditional),Pizza,Sports Bars,",,"1500 E 3rd St,Charlotte, NC 28204",3.5,61,
