,Unnamed: 0,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS,3+ BEDS,5 BEDS
83,83,Pine Village,https://www.rentcafe.com/apartments/nc/sanford/pine-village/default.aspx,"165 Firethorn Ln,",Sanford,NC,3.5,27332,"$1,272+","$1,463+","$1,150+","$1,825+","$2,187+",Ask for pricing,,
84,84,Abberly Green Apartment Homes,https://www.rentcafe.com/apartments/nc/mooresville/abberly-green-apartment-homes/default.aspx,"117 Abberly Green Blvd.,",Mooresville,NC,3.5,28117,"$1,332+","$1,533+","$2,013+","$1,825+","$2,187+",Ask for pricing,,
85,85,Abberly Place At White Oak Crossing,https://www.rentcafe.com/apartments/nc/garner/abberly-place-at-white-oak-crossing/default.aspx,"500 Abberly Crest Blvd.,",Garner,NC,3.5,27529,"$1,291+","$1,622+","$1,990+","$1,825+","$2,187+",Ask for pricing,,
86,86,Brookside Apartments,https://www.rentcafe.com/apartments/nc/raleigh/brookside-apartments0/default.aspx,"1406 Brookside Dr,",Raleigh,NC,3.5,27604,"$1,050","$1,622+","$1,990+","$1,825+","$2,187+",Ask for pricing,,
87,87,Worthington Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/charlotte/worthington-apartments-and-townhomes/default.aspx,"1526 Flat River Dr Suite 118,",Charlotte,NC,3.5,28262,"$1,330+","$1,710+","$1,990+","$1,825+","$2,187+",Ask for pricing,,
88,88,Southgate,https://www.rentcafe.com/apartments/nc/greenville/southgate-3/default.aspx,"14A Merry Lane,",Greenville,NC,3.5,27858,$955+,"$1,120+","$1,495","$1,825+","$2,187+",Ask for pricing,,
89,89,Legacy At Ardmore,https://www.rentcafe.com/apartments/nc/winston-salem/1606-covington-heights-winston-salem-nc-27103/default.aspx,"1606 Covington Heights Cir,",Winston Salem,NC,3.5,27103,"$1,475+","$2,100+","$2,780+","$1,825+","$2,187+",Ask for pricing,,
90,90,Somerset Apartments,https://www.rentcafe.com/apartments/nc/charlotte/somerset-apartments2/default.aspx,"1400 Ventura Way Dr,",Charlotte,NC,3.5,28213,"$1,057+","$2,100+","$2,780+",Ask for pricing,"$1,227+",Ask for pricing,,
91,91,Alexander Village,https://www.rentcafe.com/apartments/nc/charlotte/alexander-village-tc/default.aspx,"9224 Graham Ridge Drive,",Charlotte,NC,3.5,28262,"$1,555+","$1,574+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
92,92,Stonewood Apartments,https://www.rentcafe.com/apartments/nc/mooresville/stonewood0/default.aspx,"445 Stonewood Dr,",Mooresville,NC,3.5,28115,$790+,Ask for pricing,Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
93,93,1442 Barton Place (RCL)(V3),https://www.rentcafe.com/apartments/nc/raleigh/1442-barton-place-rcl-v3-0/default.aspx,"1442 Barton Place (RCL)(V3),",Raleigh,NC,3.5,27608,$790+,"$1,700",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
94,94,Hunters Run,https://www.rentcafe.com/apartments/nc/raleigh/hunters-run-1/default.aspx,"5801 Blacksmith Drive,",Raleigh,NC,3.5,27606,$790+,"$1,700",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
95,95,Lenox East,https://www.rentcafe.com/apartments/nc/durham/lenox-east/default.aspx,"100 Mayfield Circle,",Durham,NC,3.5,27705,"$1,320+","$1,549+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
96,96,Capital Flats & Magnolia Square Apartments,https://www.rentcafe.com/apartments/nc/raleigh/capital-flats-magnolia-square-apartments/default.aspx,"500 E Hargett St,",Raleigh,NC,3.5,27601,"$1,200","$1,549+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
0,0,Carden Place Apartment Homes,https://www.rentcafe.com/apartments/nc/mebane/carden-place/default.aspx,101 Carden Place,Mebane,NC,4.5,27302,"$1,165+","$1,405+","$1,685+",,,,,
1,1,The Timbers,https://www.rentcafe.com/apartments/nc/raleigh/the-timbers0/default.aspx,5900 Timber Creek Lane,Raleigh,NC,4.0,27612,"$1,179+","$1,396+","$1,685+",,,,,
2,2,Dacian Road Quadraplex,https://www.rentcafe.com/apartments/nc/raleigh/dacian-road-quadraplex/default.aspx,308 And 312 Dacian Road,Raleigh,NC,4.0,27610,"$1,179+","$1,495","$1,685+",,,,,
3,3,Parkside At South Tryon,https://www.rentcafe.com/apartments/nc/charlotte/parkside-at-south-tryon/default.aspx,605 Candler Lane,Charlotte,NC,4.0,28217,"$1,400+","$1,495+","$1,905+",,,,,
4,4,697 Savanac St Se,https://www.rentcafe.com/apartments/nc/bolivia/697-savanac-st-se/default.aspx,697 Savanac St Se,Bolivia,NC,4.0,28422,"$1,400+","$1,495+","$1,949",,,,,
5,5,118 HILLSDALE DRIVE,https://www.rentcafe.com/apartments/nc/wilmington/118-hillsdale-drive-0/default.aspx,118 HILLSDALE DRIVE,Wilmington,NC,4.0,28403,"$1,400+","$1,495+","$1,800",,,,,
6,6,The Park At Ferentino,https://www.rentcafe.com/apartments/nc/charlotte/the-park-at-ferentino/default.aspx,8061 Woodscape Dr.,Charlotte,NC,4.0,28212,$926,Ask for pricing,"$1,800",,,,,
7,7,SouthRidge Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/arden/south-ridge-apartments/default.aspx,160 Thoroughbred Cir,Arden,NC,4.0,28704,Ask for pricing,"$1,745+","$1,995+",,,,,
8,8,1521 Corbett Street,https://www.rentcafe.com/apartments/nc/wilmington/1521-corbett-street/default.aspx,1521 Corbett Street,Wilmington,NC,4.0,28401,Ask for pricing,"$1,745+","$2,299",,,,,
9,9,The Fairways At Piper Glen Apartments,https://www.rentcafe.com/apartments/nc/charlotte/the-fairways-at-piper-glen-apartments/default.aspx,6200 Birkdale Valley Drive,Charlotte,NC,4.0,28277,"$1,345+","$1,570+","$1,865+",,,,,
10,10,5701 Turtle Cove Court,https://www.rentcafe.com/apartments/nc/raleigh/5701-turtle-cove-court/default.aspx,5701 Turtle Cove Court,Raleigh,NC,4.0,27609,$960,"$1,570+","$1,865+",,,,,
11,11,Mezzo 1 Luxury Apartments,https://www.rentcafe.com/apartments/nc/charlotte/mezzo-1-apartments/default.aspx,130 Sharon Township Lane,Charlotte,NC,4.0,28211,$960,"$1,570+","$1,865+","$1,379",,,,
12,12,"5021 Ryandale Rd Winston Salem, NC  27104",https://www.rentcafe.com/apartments/nc/winston-salem/5021-ryandale-rd-winston-salem-nc-27104/default.aspx,5021 Ryandale Road,Winston Salem,NC,4.0,27104,$960,"$1,570+","$1,200","$1,379",,,,
